Station.name,Latitude,Longitude,Section,Array,Type
D1,72.35019,-81.0941,Sound,D,Hydrophone
D2,72.34686,-81.08237,Sound,D,Hydrophone
C1,72.38309,-81.05008,Sound,C,Hydrophone
C2,72.38055,-81.03794,Sound,C,Hydrophone
C3,72.37816,-81.02515,Sound,C,Hydrophone
C4,72.37589,-81.01213,Sound,C,Hydrophone
C5,72.37318,-81.00025,Sound,C,Hydrophone
C6,72.37093,-80.98856,Sound,C,Hydrophone
E1,72.32737,-81.17313,Sound,E,Hydrophone
E2,72.32537,-81.15898,Sound,E,Hydrophone
E3,72.32336,-81.14697,Sound,E,Hydrophone
E4,72.32197,-81.13257,Sound,E,Hydrophone
E5,72.3201,-81.11955,Sound,E,Hydrophone
F1,72.29619,-81.17564,Sound,F,Hydrophone
F2,72.29366,-81.17182,Sound,F,Hydrophone
F3,72.29357,-81.16412,Sound,F,Hydrophone
F4,72.29109,-81.16148,Sound,F,Hydrophone
G0,72.2719,-81.27801,Sound,G,Hydrophone
G1,72.27163,-81.26798,Sound,G,Hydrophone
G2,72.26847,-81.25825,Sound,G,Hydrophone
G3,72.26548,-81.24789,Sound,G,Hydrophone
G4,72.26228,-81.23826,Sound,G,Hydrophone
B6,72.41447,-80.90988,Sound,B,Hydrophone
B5,72.41641,-80.92403,Sound,B,Hydrophone
B4,72.41857,-80.93766,Sound,B,Hydrophone
B3,72.42059,-80.95161,Sound,B,Hydrophone
B2,72.42260,-80.96554,Sound,B,Hydrophone
B1,72.42404,-80.97939,Sound,B,Hydrophone
A1,72.46098,-80.90349,Sound,A,Hydrophone
A2,72.45816,-80.90561,Sound,A,Hydrophone
A3,72.45709,-80.89628,Sound,A,Hydrophone
A4,72.45454,-80.89772,Sound,A,Hydrophone
A5,72.45335,-80.88985,Sound,A,Hydrophone
A6,72.45085,-80.88966,Sound,A,Hydrophone
A7,72.44959,-80.88277,Sound,A,Hydrophone
A8,72.44781,-80.87994,Sound,A,Hydrophone
A0,72.471656,-80.802022,Mouth,A0,Hydrophone
Camp,72.356666,-81.096944,,D,Release
